EVENT,MARK,ATHLETE,COUNTRY,VENUE,Latitude,Longitude,DATE
1000 Metres,2:14.20 (i),Ayanleh SOULEIMAN,DJI,"Globe Arena, Stockholm (SWE)",59.2935725,18.0835501,17 FEB 2016
1500 Metres,3:30.60 (i),Jakob INGEBRIGTSEN,NOR,"Arena Stade Couvert, Liévin (FRA)",50.4109912,2.765853,17 FEB 2022
One Mile,3:47.01 (i),Yomif KEJELCHA,ETH,"Boston, MA (USA)",42.3600825,-71.0588801,03 MAR 2019
3000 Metres,7:24.90 (i),Daniel KOMEN,KEN,Budapest (HUN),47.497912,19.040235,06 FEB 1998
3000 Metres,7:23.81 *(i),Lamecha GIRMA,ETH,"Arena Stade Couvert, Liévin (FRA)",50.4109912,2.765853,15 FEB 2023
5000 Metres,12:49.60 (i),Kenenisa BEKELE,ETH,"National Indoor Arena, Birmingham (GBR)",52.479777,-1.915044,20 FEB 2004
50 Metres Hurdles,6.25 (i),Mark MCKOY,CAN,Kobe (JPN),34.6900806,135.1956311,05 MAR 1986
60 Metres Hurdles,7.29 (i),Grant HOLLOWAY,USA,"Gallur, Madrid (ESP)",40.3982114,-3.7391426,24 FEB 2021
60 Metres Hurdles,7.29 (i),Grant HOLLOWAY,USA,"Štark Arena, Beograd (SRB)",44.8141461,20.4212894,20 MAR 2022
High Jump,2.43 (i),Javier SOTOMAYOR,CUB,"Budapest Sportcsarnok, Budapest (HUN)",47.5018695,19.1057073,04 MAR 1989
Long Jump,8.79 (i),Carl LEWIS,USA,"New York, NY (USA)",40.7127753,-74.0059728,27 JAN 1984
Triple Jump,18.07 (i),Hugues Fabrice ZANGO,BUR,"Stadium Jean-Pellez, Aubiére (FRA)",45.7578995,3.1069021,16 JAN 2021
Shot Put,22.82 (i),Ryan CROUSER,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",36.0497746,-94.1843307,24 JAN 2021
Heptathlon,6645 (i),Ashton EATON,USA,"Ataköy Arena, Istanbul (TUR)",40.9808541,28.856793,10 MAR 2012
5000 Metres Race Walk,18:07.08 (i),Mikhail SHCHENNIKOV,RUS,Moskva (RUS),55.755826,37.6173,14 FEB 1995
4x200 Metres Relay,1:22.11 (i),Great Britain & NI,,,,,
4x400 Metres Relay,3:01.51 (i),Houston,,,,,
4x800 Metres Relay,7:11.30 (i),HOKA NJ / NY TC,,,,,
4x400 Metres Relay Mixed,3:09.34,United States,,,,,
